valuation_id,company_id,company_name,investment_id,valuation_date,valuation_method,enterprise_value,enterprise_value_currency,equity_value,equity_value_currency,revenue_multiple,ebitda_multiple,book_multiple,comparable_companies,discount_rate,terminal_growth_rate,valuation_notes,valuation_source,confidence_level,last_financing_round_valuation,last_financing_date,created_date,last_modified_date
VAL-001,PM-COMP-001,TechFlow Solutions,PM-INV-001,2022-09-30,Market Multiple,175000000,USD,161250000,USD,8.5,45.0,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Strong SaaS metrics with 40% YoY growth and 90% gross margins,External Valuation,High,161250000,2022-08-15,2022-10-01,2022-10-01
VAL-002,PM-COMP-001,TechFlow Solutions,PM-INV-001,2022-12-31,Market Multiple,187500000,USD,172500000,USD,8.8,44.1,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Continued strong performance with new customer wins,Internal Valuation,Medium,161250000,2022-08-15,2023-01-10,2023-01-10
VAL-003,PM-COMP-001,TechFlow Solutions,PM-INV-001,2023-03-31,Market Multiple,200000000,USD,184000000,USD,9.2,42.1,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Market expansion and product enhancements driving growth,Internal Valuation,Medium,161250000,2022-08-15,2023-04-10,2023-04-10
VAL-004,PM-COMP-001,TechFlow Solutions,PM-INV-001,2023-06-30,Market Multiple,225000000,USD,207000000,USD,9.6,42.9,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Strong Q2 results with accelerating ARR growth,Internal Valuation,Medium,161250000,2022-08-15,2023-07-10,2023-07-10
VAL-005,PM-COMP-004,RetailMax Holdings,PM-INV-002,2022-12-31,DCF Analysis,125000000,USD,76875000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Omnichannel strategy showing early results,External Valuation,High,76875000,2022-11-20,2023-01-15,2023-01-15
VAL-006,PM-COMP-004,RetailMax Holdings,PM-INV-002,2023-03-31,DCF Analysis,137500000,USD,84375000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Same-store sales growth and margin expansion,Internal Valuation,Medium,76875000,2022-11-20,2023-04-15,2023-04-15
VAL-007,PM-COMP-004,RetailMax Holdings,PM-INV-002,2023-06-30,DCF Analysis,150000000,USD,92250000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Digital transformation initiatives gaining traction,Internal Valuation,Medium,76875000,2022-11-20,2023-07-15,2023-07-15
VAL-008,PM-COMP-004,RetailMax Holdings,PM-INV-002,2023-09-30,DCF Analysis,162500000,USD,99937500,USD,2.0,16.7,1.23,N/A,12.0,2.5,Strong back-to-school season performance,Internal Valuation,Medium,76875000,2022-11-20,2023-10-15,2023-10-15
VAL-009,PM-COMP-011,CloudSoft Systems,PM-INV-003,2023-06-30,Recent Transaction,65000000,USD,65000000,USD,2.9,14.4,N/A,N/A,N/A,N/A,Valuation based on recent investment transaction,Transaction-Based,High,65000000,2023-05-10,2023-07-01,2023-07-01
VAL-010,PM-COMP-011,CloudSoft Systems,PM-INV-003,2023-09-30,Market Multiple,71500000,USD,71500000,USD,2.9,14.3,N/A,"VMware (VMW), Citrix (CTXS), Nutanix (NTNX)",N/A,N/A,Cloud migration market tailwinds supporting valuation,Internal Valuation,Medium,65000000,2023-05-10,2023-10-15,2023-10-15
VAL-011,PM-COMP-011,CloudSoft Systems,PM-INV-003,2023-12-31,Market Multiple,78000000,USD,78000000,USD,2.8,14.2,N/A,"VMware (VMW), Citrix (CTXS), Nutanix (NTNX)",N/A,N/A,Strong Q4 bookings and customer expansion,Internal Valuation,Medium,65000000,2023-05-10,2024-01-15,2024-01-15
VAL-012,PM-COMP-002,MedDevice Innovations,PM-INV-004,2022-12-31,Market Multiple,27142857,EUR,27142857,EUR,2.6,12.8,N/A,"Medtronic (MDT), Abbott (ABT), Boston Scientific (BSX)",N/A,N/A,Regulatory approvals and market penetration,External Valuation,High,27142857,2022-09-25,2023-01-20,2023-01-20
VAL-013,PM-COMP-002,MedDevice Innovations,PM-INV-004,2023-03-31,Market Multiple,29464286,EUR,29464286,EUR,2.5,12.4,N/A,"Medtronic (MDT), Abbott (ABT), Boston Scientific (BSX)",N/A,N/A,New product launches and geographic expansion,Internal Valuation,Medium,27142857,2022-09-25,2023-04-20,2023-04-20
VAL-014,PM-COMP-002,MedDevice Innovations,PM-INV-004,2023-06-30,Market Multiple,31785714,EUR,31785714,EUR,2.4,12.1,N/A,"Medtronic (MDT), Abbott (ABT), Boston Scientific (BSX)",N/A,N/A,Strong clinical outcomes data supporting adoption,Internal Valulation,Medium,27142857,2022-09-25,2023-07-20,2023-07-20
VAL-015,PM-COMP-009,BioTech Ventures,PM-INV-006,2023-06-30,Risk-Adjusted NPV,35555556,USD,35555556,USD,N/A,N/A,N/A,N/A,15.0,N/A,Phase II trial results better than expected,External Valuation,Low,35555556,2023-04-20,2023-07-25,2023-07-25
VAL-016,PM-COMP-009,BioTech Ventures,PM-INV-006,2023-09-30,Risk-Adjusted NPV,40000000,USD,40000000,USD,N/A,N/A,N/A,N/A,15.0,N/A,FDA breakthrough therapy designation received,Internal Valuation,Low,35555556,2023-04-20,2023-10-25,2023-10-25
VAL-017,PM-COMP-009,BioTech Ventures,PIN-INV-006,2023-12-31,Risk-Adjusted NPV,41111111,USD,41111111,USD,N/A,N/A,N/A,N/A,15.0,N/A,Partnership discussions with major pharma companies,Internal Valuation,Low,35555556,2023-04-20,2024-01-25,2024-01-25
VAL-018,PM-COMP-005,FinTech Innovations,PM-INV-007,2023-09-30,Market Multiple,53333333,USD,53333333,USD,14.2,142.2,N/A,"Square (SQ), PayPal (PYPL), Adyen (ADYEN)",N/A,N/A,Strong growth in SME lending portfolio,External Valuation,Medium,53333333,2023-08-30,2023-10-30,2023-10-30
VAL-019,PM-COMP-005,FinTech Innovations,PM-INV-007,2023-12-31,Market Multiple,58333333,USD,58333333,USD,13.3,133.3,N/A,"Square (SQ), PayPal (PYPL), Adyen (ADYEN)",N/A,N/A,Regulatory approval for new banking services,Internal Valuation,Medium,53333333,2023-08-30,2024-01-30,2024-01-30
VAL-020,PM_COMP-013,AgriTech Solutions,PM-INV-009,2022-12-31,Market Multiple,77777778,USD,77777778,USD,6.9,34.6,N/A,"Deere & Company (DE), Trimble (TRMB), Climate Corp",N/A,N/A,Precision agriculture adoption accelerating,External Valuation,Medium,77777778,2022-11-30,2023-01-30,2023-01-30
VAL-021,PM_COMP-013,AgriTech Solutions,PM-INV-009,2023-03-31,Market Multiple,83333333,USD,83333333,USD,6.7,33.3,N/A,"Deere & Company (DE), Trimble (TRMB), Climate Corp",N/A,N/A,New partnerships with equipment manufacturers,Internal Valuation,Medium,77777778,2022-11-30,2023-04-30,2023-04-30
VAL-022,PM_COMP-013,AgriTech Solutions,PM-INV-009,2023-06-30,Market Multiple,88888889,USD,88888889,USD,6.5,32.3,N/A,"Deere & Company (DE), Trimble (TRMB), Climate Corp",N/A,N/A,International expansion showing early success,Internal Valuation,Medium,77777778,2022-11-30,2023-07-30,2023-07-30
VAL-023,PM_COMP-013,AgriTech Solutions,PM-INV-009,2023-09-30,Market Multiple,94444444,USD,94444444,USD,6.3,31.5,N/A,"Deere & Company (DE), Trimble (TRMB), Climate Corp",N/A,N/A,Strong harvest season adoption and retention,Internal Valuation,Medium,77777778,2022-11-30,2023-10-30,2023-10-30